organisation,city,addressbook_id,description,image1,showhotel,image2,image3,image4,starcategories_id,cuisine,bars,restaurants,checkout,accessrail,accessair,accessbus,advantage,logo,rooms,ac,roomfacility,otherfacility,services,creditcards,fhra,WebWriteUp1,WebWriteUp2,url,Metatype,Descr,Keywords,Display,CheckIn,ChildExtraBed,Pets,Bedroom,HotelView,Outdoors,Amenities,Activities,LivingArea,Media,Food,Internet,Parking,HotelServices,General,Chk_BF_Incl,Chk_Board,Chk_ChildFree,Chk_Restaurant,Chk_Bar,Chk_BusiCentre,Chk_Parking,Chk_Swim,Chk_Laundry,Chk_Fitness,Chk_Sauna,Chk_AC,Chk_Heating,Chk_Wifi,Chk_MiniBar,Chk_Phone,Chk_Security,Chk_Smoke,Chk_Cable
"Ajit Bhawan",Jodhpur,15,"Ajit Bhawan is a lovely resort set in fabulous gardens with a spectacular swimming pool. 

Winding stone paths lead to the attractive rooms, many in cottage style with private sit-outs. All 6 suites, 10 luxury tents and 58 stylish rooms are air-conditioned and imaginatively furnished, mixing Raj splendour with a contemporary twist. 

There is a garden restaurant and a lounge bar with a historic atmosphere, and a large collection of vintage cars, many of which are still in use.",jodhpur_abhawan.jpg,1,jodhpur_abhawan2.jpg,jodhpur_abhawan3.jpg,jodhpur_abhawan4.jpg,5,"",1,3,11:00,"3 kms. from Railway Station","3 kms. from Airport","","",jodhpur_ajit.jpg,81,Air-conditioned,"Direct Dialing Phones","Swimming Pool, Shopping Arcade, Folk Dances everyday during season, Health Club","Village Safari, Vintage Car on Hire, Travel Desk, Money Exchange","AMEX, VISA, Master, BOB Card",6512,"This is possibly the most creative place to stay in Rajasthan. Located in the vast grounds of the Ajit Bhawan palace building, the rooms are spread out in a very attractive garden, home to many birds. The rooms are mostly in stand alone cottages, or in small clusters 

The rooms are veritable museums and guests will enjoy discovering the many nooks and crannies as well as the collection of artifacts in the room. The colours and the overall d�cor are chic and contemporary in a rural Rajasthani style and the combination is truly remarkable. An amazing swimming pool, seemingly hewn out of a rock lies on a higher platform. 

The large garden is where most meals are served; with tables lit from underneath, and festive lamps strung from the trees that surround the area. There are live folk dancers, and the whole ambience has to be experienced to be believed. It is nothing short of magical. Breakfast is served in a circular restaurant just above the pool. 

The village style arrangement of the cottages is charming, and yet most modern amenities are available. This is definitely a resort with a difference!",,ajit-bhawan,"A lovely resort set in fabulous gardens with a spectacular swimming pool. ","Ajit Bhawan in Jodhpur - Travel in India | Travellers Palm","ajit bhawan, jodhpur, rajasthan, heritage hotel, special places",1,12:00,"Infant 0-1 year(s)Stay for free if using existing bedding. Note, if you need a cot there may be an extra charge.
Children 2-5 year(s)Stay for free if using existing bedding.
Guests over 5 years old are considered as adults.",,,,,,"Village Safari,  Desert Safari,Folk Dance & Music",,,"J Bar & Restaurant
","Facility  Wi-Fi",,"Lavish Swimming Pool,  Spa  Health Center,  Travel Desk,  Money Exchange,  Laundry & Dry Cleaning,  Car Rentals, Concierge,  Internet & E-mail,  Shopping Arcade ,Doctor on Call,  Airport Transfers,  Fleet of Vintage Cars,  Conference,  
",,1,0,5,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0
"Pushkar Palace",Pushkar,16,"A charming building right on the banks of the holy Pushkar lake. The former palace of the Maharaja of Kishangarh has green gardens and the verandahs of the upper floors overlook the lake, the temples and the ghats. 

The hotel's owner, Jagat Singh, is a great collector of antique furniture and all rooms have hand-picked features and fittings. Large armoires with cut glass handles, carved mirror frames, poster or canopy beds, and other smaller pieces of colonial or Rajasthani furniture are a delight.",pushkar_palace.jpg,1,pushkar_palace2.jpg,pushkar_palace3.jpg,"",0,"Vegetarian, Indian Rajasthani ",,1,12:00,"13 Kms from Ajmer Railway Station","145 Kms From Jaipur Airport",,"Situated on the Banks of the Holy Lake at Pushkar",pushkar_palace.jpg,50,"Some Rooms","All Rooms with Attached Bath with Running Hot & Cold Water","Camel, Jeep and Horse Safari, Travel Desk, Garden Restaurant on the Lake Side","Room Service, Laundry, Doctor on Call, Car Rental","Visa, Mastercard, Maestro",,"Pushkar is one of the holiest places of pilgrimage for Hindus. The lake here, around which the whole town revolves, is considered to ne extremely holy and a bath here is second only to one in the Ganges at Varanasi. Hundreds of small temples are built on the periphery of the lake. Well designed, wide stone steps lead down to the lake. These are called the `ghats'. Devotees come to worship at the temples and on the ghats early every morning and at sunset too. Prayers and chanted, hymns are sung, and devotional music is played at the temples.

Pushkar is also known for its annual ""Camel Fair"". Traditionally, when devotees would come on a pilgrimage at the time of the first full moon of the Hindu year, they would bring along their cattle, camels and brisk trade would take place. It is now one of the largest fairs of its kind and attracts thousands of people. This is a fantastic opportunity to see people in traditional, ceremonial attire, entire families having travelled considerable distance to attend the fair. The various animals are displayed in their finery and there are competitions and races too. 

Pushkar Palace is one of the oldest hotels in Pushkar and is located right on the banks of the lake. Until recently, the hotel had a fabulous sunset terrace with well tended palm trees and other mature trees. A zealous town council decreed that the garden was violating the public space and tore it down. Minus the terrace, the Pushkar Palace still has lovely views from the suites which are right next to the lake and from the upper floors of the main wing. A small garden is in the centre and this is a delightful place to sit and relax. 

The hotel's owner, Mr Jagat Singh is a great collector of antique furniture and all rooms have hand-picked features and fittings. Large armoires with cut glass handles, carved mirror frames, poster or canopy beds and other smaller pieces of colonial or Rajasthani furniture are a delight. 

Being a place of pilgrimage, only vegetarian food is served in Pushkar, and alcohol is not available.",,pushkar-palace,"A charming building right on the banks of the holy Pushkar lake. The former palace of the Maharaja of Kishangarh has green gardens and the verandahs of the upper floors overlook the lake, the temples and the ghats. ","Pushkar Palace in Pushkar - Travel in India | Travellers Palm","pushkar palace, rajasthan, heritage hotel, camel fair, lake, special places",1,12:00,"There is no capacity for extra beds in the room.
","Pets are not allowed.",Wardrobe/Closet,,Garden,,,"Seating Area, Desk","Cable Channels, Flat-screen TV, Telephone","Restaurant, Minibar
","Free! WiFi is available in all areas and is free of charge.","Free! Free private parking is possible on site (reservation is not needed).","Room service, Car hire, 24-hour front desk, Currency exchange, Luggage storage, Laundry, Dry cleaning, Ironing service
","Newspapers, Safety deposit box, Lift, Heating, Air conditioning, Tile/Marble floor, Fan, Safety Deposit Box
",1,0,,1,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1
"Inderlok Hotel",Rishikesh,17,""," ",1,"","","",2,"Indian, Chinese, Continental","",1,"12.00 Noon","1/2 km. from Railway Station","14 kms. from Airport","1/4 km. from Bus Stand","At Main Rly. Road and Walking distance from Triveni Ghat",,26,"","Room Service, H/C running water, Telephone, T.V., Safe Deposit, Channel Music, Tea/Coffee maker","Banquet & Conference Facilities, Beauty Parlour, Terrece Garden, Yoga Facility","Doctor on Call, Laundry, Money Changer, Banking, Safe Deposit, Travel Desk Service, Fax",Diners,2092,,,inderlok-hotel,"","Inderlok Hotel in Rishikesh - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The Sariska Palace ",Sariska,19,"A former royal hunting lodge now converted into a palace hotel. The impressive 19th century Art Deco building is set at the end of a large circular driveway. There are more than a hundred rooms spread over the main old building as well as in modern bungalows set in the large grounds. The palace offers a swimming pool and a health club with Ayurvedic therapies. Jeep safaries into the park can be booked directly through the hotel.",sariska_palace.jpg,1,sariska_palace2.jpg,sariska_palace3.jpg,sariska_palace4.jpg,0,"Indian, Chinese, Continental",1,1,"12.00 Noon","36 Kms From Alwar Railway Station","130 Kms From Jaipur Airport","38 kms from Alwar, Rajasthan","Inside wild life Sanctuary in Sariska",sariska_palace.jpg,80,Air-conditioned,"Room Service, H/C running water, Telephone, Fax, T.V., Safe Deposit, Tea/Coffee maker","Health Club, Swimming Pool, Jeep Safaris in Sariska National Park","Doctor on Call, Laundry, Money Changer, Safe Deposit, Valet","All major cards accepted",2093,,,the-sariska-palace,"A former royal hunting lodge now converted into a palace hotel. The impressive 19th century Art Deco building is set at the end of a large circular driveway. There are more than a hundred rooms spread over the main old building as well as in modern bungalows set in the large grounds. The palace offers a swimming pool and a health club with Ayurvedic therapies. Jeep safaries into the park can be booked directly through the hotel.","The Sariska Palace  in Sariska - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chapslee House",Shimla,20,"Declared by many to be the finest house in Shimla, Chapslee was once the summer residence of the Raja of Kapurthala. Now it is the home of his grandson who has generously opened the doors of this historic house to guests. 

Chapslee only has 6 rooms and staying here feels much like being special invitee in a royal home.

This pretty, single storeyed, ivy covered bungalow is always suffused with sunlight that spills onto the blue Persian rugs, the elegant wooden staircase lined with hunting trophies and the vast collection of Victoriana.",shimla_chapslee.jpg,1,shimla_chapslee2.jpg,shimla_chapslee7.jpg,shimla_chapslee5.jpg,0,"Fine Indian & Continental",1,1,,,,,"A Grand manor House with Superb Views and Excellent Period Furniture",shimla_chapslee.jpg,6,,"Beautifully appointed Suites with Priceless Artefacts, Rare Textiles, Taperstries & Persian Carpets","Library and Card room, Tennis court and Croquet lawn. ","Laundry, Doctor on Call",,,"Each bedroom is decorated around a colour - cheery yellow, fresh pink and royal blue. Flowers climb the walls on delicate, yellowing wallpaper and decorate the duvets. Most of the beds are white painted, brass ones, and inkeeping with Raj-era norms most of the beds are singles, 2 being placed close to each other in double rooms. There are wildflowers in Peshwa vases, oil paintings in heavy gold frames and an owl lamp or two. The bric-a-brac has obviously been passed down the generations and is a large part of Chapslee's charm. 
 
There are some exquisite common areas at Chapslee. A sunny corner is decorated with potted plants and cane armchairs and is the more casual 'Morning Room'. There is also a library filled with wooden bookcases and reclining leather armchairs and even some period card tables. A long room with large windows furnished in creams and golds is the formal drawing room.
 
The dining area is a formal space as well. A crystal chandelier shines above the single table that gleams with age and polish. The meals served at Chapslee are based on recipes from royal kitchens and Anglo-Indian cuisine to complete the Raj-era experience that Chapslee provides. 
 
Given that Chapslee is a home stay, the hosts request details of personal information before confirming the reservation. It is advisable, therefore, to book well in advance.",,chapslee-house,"Declared by many to be the finest house in Shimla, Chapslee was once the summer residence of the Raja of Kapurthala. Now it is the home of his grandson who has generously opened the doors of this historic house to guests. ","Chapslee House in Shimla - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hotel Hilltop Palace",Udaipur,21,"Most swish and modern of the upscale places above Fateh Sagar Lake. The roof terrace boasts of a remarkable 360 degrees panoramic view over Udaipur. The hotel has full white marble flooring which gives it a clean, cool feel. There are 65 air-conditioned rooms, a multi-cuisine restaurant and bar, and an exclusive swimming pool in the garden.",udaipur_hilltop5.jpg,1,udaipur_hilltop2.jpg,udaipur_hilltop3.jpg,udaipur_hilltop4.jpg,3,"Indian, Chinese, Continental",1,1,"12.00 Noon","4 kms. from Railway Station","24 kms. from Airport","2 kms. from City Centre","Situated at the highest Point of Udaipur with the panoramic view of Lake",udaipur_hilltop.jpg,65,"Fully Air-conditioned","Room Service, H/C running water, Telephone, T.V.","Business Centre, Discotheque, Swimming Pool, Shopping Arcade","Doctor on Call, Laundry & Dry Cleaning, Money Changer, Safe Deposit, Rajasthani Folk Dances & Puppet Show arranged on request, Parking, Fax, Safe Deposit","AMEX, Diners, VISA, Master",1033,,,hotel-hilltop-palace,"Most swish and modern of the upscale places above Fateh Sagar Lake. The roof terrace boasts of a remarkable 360 degrees panoramic view over Udaipur. The hotel has full white marble flooring which gives it a clean, cool feel. There are 65 air-conditioned rooms, a multi-cuisine restaurant and bar, and an exclusive swimming pool in the garden.","Hotel Hilltop Palace in Udaipur - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hotel Ideal Tower",Varanasi,22,""," ",1,"","","",3,"Indian, Chinese, Continental, South Indian",1,2,"12.00 Noon","1 km. from Railway Station","18 kms. from Airport","1km. from Bus Stand","Near T.V. Tower, Cantt, Varanasi",,40,"Centrally Air-conditioned","Room Service, H/C running water, Telephone, Fax, T.V., Channel Music, Tea/Coffee maker","Banquet & Conference Facilities","Doctor on Call, Laundry, Money Changer, Banking, Safe Deposit, Baby Sitting, Travel Desk Service","American Express, BOB, VISA, Master",3134,,,ideal-tops,"","Ideal Tops in Varanasi - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sealord Hotel",Kochi,24,""," ",1,"","","",3,"Indian, Chinese, Continental",1,2,"12.00 Noon","2 kms. from Railway Station","25 kms. from Airport","2 kms. from Bus Stand","Marine Drive (Close to Backwaters)",,39,"Centrally Air-conditioned","Room Service, H/C running water, Bath tubs, Direct Dialling Telephone, Fax, Cable T.V., Safe Deposit","Banquet & Conference Facilities, Shopping Arcade","Doctor on Call, Laundry, Money Changer, Travel Desk Service","AMEX, CAN, BOB, Diners, VISA, Master, Andhra, Central, ANZ, Citi",3034,,,sealord-hotel,"","Sealord Hotel in Kochi - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cavala Hotel",Goa,25,""," ",1,"","","",0,,,,,,,,,,,,,,,,,,,cavala-hotel,"","Cavala Hotel in Goa - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Chandra Towers",Chennai,26,""," ",1,"","","",0,,,,,,,,,,,,,,,,,,,chandra-towers,"","Chandra Towers in Chennai - Travel in India | Travellers Palm",,1,,,,,,,,,,,,,,,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
