addressbook_id,description,image1,showhotel,image2,image3,image4,starcategories_id,cuisine,bars,restaurants,checkout,accessrail,accessair,accessbus,advantage,logo,rooms,ac,roomfacility,otherfacility,services,creditcards,fhra,WebWriteUp1,WebWriteUp2,url,Metatype,Descr,Keywords,organisation,address,city,postalcode,countries_id,phone,fax,pan,email,www,branch_cities_id,note,areacode,bank_addressbook_id,through_addressbook_id,mailto_addressbook_id,cities_id,states_id,currencies_id,web,company,taxno,IncludeInBalanceSheet,InvoiceTo_Addressbook_id,InvoiceOrderNo
15,"Ajit Bhawan is a lovely resort set in fabulous gardens with a spectacular swimming pool. 

Winding stone paths lead to the attractive rooms, many in cottage style with private sit-outs. All 6 suites, 10 luxury tents and 58 stylish rooms are air-conditioned and imaginatively furnished, mixing Raj splendour with a contemporary twist. 

There is a garden restaurant and a lounge bar with a historic atmosphere, and a large collection of vintage cars, many of which are still in use.",jodhpur_abhawan.jpg,1,jodhpur_abhawan2.jpg,jodhpur_abhawan3.jpg,jodhpur_abhawan4.jpg,5,"",1,3,11:00,"3 kms. from Railway Station","3 kms. from Airport","","",jodhpur_ajit.jpg,81,Air-conditioned,"Direct Dialing Phones","Swimming Pool, Shopping Arcade, Folk Dances everyday during season, Health Club","Village Safari, Vintage Car on Hire, Travel Desk, Money Exchange","AMEX, VISA, Master, BOB Card",6512,"This is possibly the most creative place to stay in Rajasthan. Located in the vast grounds of the Ajit Bhawan palace building, the rooms are spread out in a very attractive garden, home to many birds. The rooms are mostly in stand alone cottages, or in small clusters 

The rooms are veritable museums and guests will enjoy discovering the many nooks and crannies as well as the collection of artifacts in the room. The colours and the overall d�cor are chic and contemporary in a rural Rajasthani style and the combination is truly remarkable. An amazing swimming pool, seemingly hewn out of a rock lies on a higher platform. 

The large garden is where most meals are served; with tables lit from underneath, and festive lamps strung from the trees that surround the area. There are live folk dancers, and the whole ambience has to be experienced to be believed. It is nothing short of magical. Breakfast is served in a circular restaurant just above the pool. 

The village style arrangement of the cottages is charming, and yet most modern amenities are available. This is definitely a resort with a difference!",,ajit-bhawan,"A lovely resort set in fabulous gardens with a spectacular swimming pool. ","Ajit Bhawan in Jodhpur - Travel in India | Travellers Palm","ajit bhawan, jodhpur, rajasthan, heritage hotel, special places","Ajit Bhawan","Near Circuit House",Jodhpur,"342 006",200,"251 3333, 251 0410, 251 1410, 2510610, 2510766","251 0674","","reservations@ajitbhawan.com
dgmsales@ajitbhawan.com
",www.ajitbhawan.com,,"",0291,,,,183,27,13,1,0,,1,,
16,"A charming building right on the banks of the holy Pushkar lake. The former palace of the Maharaja of Kishangarh has green gardens and the verandahs of the upper floors overlook the lake, the temples and the ghats. 

The hotel's owner, Jagat Singh, is a great collector of antique furniture and all rooms have hand-picked features and fittings. Large armoires with cut glass handles, carved mirror frames, poster or canopy beds, and other smaller pieces of colonial or Rajasthani furniture are a delight.",pushkar_palace.jpg,1,pushkar_palace2.jpg,pushkar_palace3.jpg,"",0,"Vegetarian, Indian Rajasthani ",,1,12:00,"13 Kms from Ajmer Railway Station","145 Kms From Jaipur Airport",,"Situated on the Banks of the Holy Lake at Pushkar",pushkar_palace.jpg,50,"Some Rooms","All Rooms with Attached Bath with Running Hot & Cold Water","Camel, Jeep and Horse Safari, Travel Desk, Garden Restaurant on the Lake Side","Room Service, Laundry, Doctor on Call, Car Rental","Visa, Mastercard, Maestro",,"Pushkar is one of the holiest places of pilgrimage for Hindus. The lake here, around which the whole town revolves, is considered to ne extremely holy and a bath here is second only to one in the Ganges at Varanasi. Hundreds of small temples are built on the periphery of the lake. Well designed, wide stone steps lead down to the lake. These are called the `ghats'. Devotees come to worship at the temples and on the ghats early every morning and at sunset too. Prayers and chanted, hymns are sung, and devotional music is played at the temples.

Pushkar is also known for its annual ""Camel Fair"". Traditionally, when devotees would come on a pilgrimage at the time of the first full moon of the Hindu year, they would bring along their cattle, camels and brisk trade would take place. It is now one of the largest fairs of its kind and attracts thousands of people. This is a fantastic opportunity to see people in traditional, ceremonial attire, entire families having travelled considerable distance to attend the fair. The various animals are displayed in their finery and there are competitions and races too. 

Pushkar Palace is one of the oldest hotels in Pushkar and is located right on the banks of the lake. Until recently, the hotel had a fabulous sunset terrace with well tended palm trees and other mature trees. A zealous town council decreed that the garden was violating the public space and tore it down. Minus the terrace, the Pushkar Palace still has lovely views from the suites which are right next to the lake and from the upper floors of the main wing. A small garden is in the centre and this is a delightful place to sit and relax. 

The hotel's owner, Mr Jagat Singh is a great collector of antique furniture and all rooms have hand-picked features and fittings. Large armoires with cut glass handles, carved mirror frames, poster or canopy beds and other smaller pieces of colonial or Rajasthani furniture are a delight. 

Being a place of pilgrimage, only vegetarian food is served in Pushkar, and alcohol is not available.",,pushkar-palace,"A charming building right on the banks of the holy Pushkar lake. The former palace of the Maharaja of Kishangarh has green gardens and the verandahs of the upper floors overlook the lake, the temples and the ghats. ","Pushkar Palace in Pushkar - Travel in India | Travellers Palm","pushkar palace, rajasthan, heritage hotel, camel fair, lake, special places","Pushkar Palace","Chhoti Basti",Pushkar,"305 022",200,"277 2953, 277 2954, 277 2001, 277 2401-03, 320 4223","277 2954, 277 2226",3-=034-PX-8939,"info@pushkarpalace.com
hotelpushkarpalace@gmail.com
hotel_pushkar_palace@hotmail.com",www.hotelpushkarpalace.com,,"",0145,,2615,,343,27,13,1,0,,1,,
17,""," ",1,"","","",2,"Indian, Chinese, Continental","",1,"12.00 Noon","1/2 km. from Railway Station","14 kms. from Airport","1/4 km. from Bus Stand","At Main Rly. Road and Walking distance from Triveni Ghat",,26,"","Room Service, H/C running water, Telephone, T.V., Safe Deposit, Channel Music, Tea/Coffee maker","Banquet & Conference Facilities, Beauty Parlour, Terrece Garden, Yoga Facility","Doctor on Call, Laundry, Money Changer, Banking, Safe Deposit, Travel Desk Service, Fax",Diners,2092,,,inderlok-hotel,"","Inderlok Hotel in Rishikesh - Travel in India | Travellers Palm",,"Inderlok Hotel","Railway Road",Rishikesh,"  ",200,"430 555, 430 556, 430 553","432 855","","","",,"",0135,,,,355,31,13,0,0,,1,,
19,"A former royal hunting lodge now converted into a palace hotel. The impressive 19th century Art Deco building is set at the end of a large circular driveway. There are more than a hundred rooms spread over the main old building as well as in modern bungalows set in the large grounds. The palace offers a swimming pool and a health club with Ayurvedic therapies. Jeep safaries into the park can be booked directly through the hotel.",sariska_palace.jpg,1,sariska_palace2.jpg,sariska_palace3.jpg,sariska_palace4.jpg,0,"Indian, Chinese, Continental",1,1,"12.00 Noon","36 Kms From Alwar Railway Station","130 Kms From Jaipur Airport","38 kms from Alwar, Rajasthan","Inside wild life Sanctuary in Sariska",sariska_palace.jpg,80,Air-conditioned,"Room Service, H/C running water, Telephone, Fax, T.V., Safe Deposit, Tea/Coffee maker","Health Club, Swimming Pool, Jeep Safaris in Sariska National Park","Doctor on Call, Laundry, Money Changer, Safe Deposit, Valet","All major cards accepted",2093,,,the-sariska-palace,"A former royal hunting lodge now converted into a palace hotel. The impressive 19th century Art Deco building is set at the end of a large circular driveway. There are more than a hundred rooms spread over the main old building as well as in modern bungalows set in the large grounds. The palace offers a swimming pool and a health club with Ayurvedic therapies. Jeep safaries into the park can be booked directly through the hotel.","The Sariska Palace  in Sariska - Travel in India | Travellers Palm",,"The Sariska Palace ","Sariska,
Dist Alwar",Sariska,"301 022",200,"241322, 241327, 241328","241 322","","info@thesariskapalace.in
",www.planetindia.net/sariska,,"",0144,,927,,367,27,13,1,0,,1,,
20,"Declared by many to be the finest house in Shimla, Chapslee was once the summer residence of the Raja of Kapurthala. Now it is the home of his grandson who has generously opened the doors of this historic house to guests. 

Chapslee only has 6 rooms and staying here feels much like being special invitee in a royal home.

This pretty, single storeyed, ivy covered bungalow is always suffused with sunlight that spills onto the blue Persian rugs, the elegant wooden staircase lined with hunting trophies and the vast collection of Victoriana.",shimla_chapslee.jpg,1,shimla_chapslee2.jpg,shimla_chapslee7.jpg,shimla_chapslee5.jpg,0,"Fine Indian & Continental",1,1,,,,,"A Grand manor House with Superb Views and Excellent Period Furniture",shimla_chapslee.jpg,6,,"Beautifully appointed Suites with Priceless Artefacts, Rare Textiles, Taperstries & Persian Carpets","Library and Card room, Tennis court and Croquet lawn. ","Laundry, Doctor on Call",,,"Each bedroom is decorated around a colour - cheery yellow, fresh pink and royal blue. Flowers climb the walls on delicate, yellowing wallpaper and decorate the duvets. Most of the beds are white painted, brass ones, and inkeeping with Raj-era norms most of the beds are singles, 2 being placed close to each other in double rooms. There are wildflowers in Peshwa vases, oil paintings in heavy gold frames and an owl lamp or two. The bric-a-brac has obviously been passed down the generations and is a large part of Chapslee's charm. 
 
There are some exquisite common areas at Chapslee. A sunny corner is decorated with potted plants and cane armchairs and is the more casual 'Morning Room'. There is also a library filled with wooden bookcases and reclining leather armchairs and even some period card tables. A long room with large windows furnished in creams and golds is the formal drawing room.
 
The dining area is a formal space as well. A crystal chandelier shines above the single table that gleams with age and polish. The meals served at Chapslee are based on recipes from royal kitchens and Anglo-Indian cuisine to complete the Raj-era experience that Chapslee provides. 
 
Given that Chapslee is a home stay, the hosts request details of personal information before confirming the reservation. It is advisable, therefore, to book well in advance.",,chapslee-house,"Declared by many to be the finest house in Shimla, Chapslee was once the summer residence of the Raja of Kapurthala. Now it is the home of his grandson who has generously opened the doors of this historic house to guests. ","Chapslee House in Shimla - Travel in India | Travellers Palm",,"Chapslee House","Lakkar Bazaar",Shimla,"171 001",200,"265 8663, 280 2542, 265 0921","265 3085","","chapslee@vsnl.com
chapsleesm@dataone.in
chapslee@sancharnet.in",www.chapslee.com,,"",0177,,,,380,13,13,1,0,,1,,
21,"Most swish and modern of the upscale places above Fateh Sagar Lake. The roof terrace boasts of a remarkable 360 degrees panoramic view over Udaipur. The hotel has full white marble flooring which gives it a clean, cool feel. There are 65 air-conditioned rooms, a multi-cuisine restaurant and bar, and an exclusive swimming pool in the garden.",udaipur_hilltop5.jpg,1,udaipur_hilltop2.jpg,udaipur_hilltop3.jpg,udaipur_hilltop4.jpg,3,"Indian, Chinese, Continental",1,1,"12.00 Noon","4 kms. from Railway Station","24 kms. from Airport","2 kms. from City Centre","Situated at the highest Point of Udaipur with the panoramic view of Lake",udaipur_hilltop.jpg,65,"Fully Air-conditioned","Room Service, H/C running water, Telephone, T.V.","Business Centre, Discotheque, Swimming Pool, Shopping Arcade","Doctor on Call, Laundry & Dry Cleaning, Money Changer, Safe Deposit, Rajasthani Folk Dances & Puppet Show arranged on request, Parking, Fax, Safe Deposit","AMEX, Diners, VISA, Master",1033,,,hotel-hilltop-palace,"Most swish and modern of the upscale places above Fateh Sagar Lake. The roof terrace boasts of a remarkable 360 degrees panoramic view over Udaipur. The hotel has full white marble flooring which gives it a clean, cool feel. There are 65 air-conditioned rooms, a multi-cuisine restaurant and bar, and an exclusive swimming pool in the garden.","Hotel Hilltop Palace in Udaipur - Travel in India | Travellers Palm",,"Hotel Hilltop Palace","5, Ambavgarh 
Fatehsagar",Udaipur,"313 001",200,"2432 245 - 7","2432 136","",hilltop@bppl.net.in,"",,"",0294,,,,407,27,13,1,0,,1,,
22,""," ",1,"","","",3,"Indian, Chinese, Continental, South Indian",1,2,"12.00 Noon","1 km. from Railway Station","18 kms. from Airport","1km. from Bus Stand","Near T.V. Tower, Cantt, Varanasi",,40,"Centrally Air-conditioned","Room Service, H/C running water, Telephone, Fax, T.V., Channel Music, Tea/Coffee maker","Banquet & Conference Facilities","Doctor on Call, Laundry, Money Changer, Banking, Safe Deposit, Baby Sitting, Travel Desk Service","American Express, BOB, VISA, Master",3134,,,ideal-tops,"","Ideal Tops in Varanasi - Travel in India | Travellers Palm",,"Hotel Ideal Tower","The Mall 
Cantonment
",Varanasi,"221 002",200,2503391-94,2503396,"","info@hotelidealtower.com 
idealtower@yahoo.co.in 
",www.hotelidealtower.com,,"",0542,,2136,,417,31,13,0,0,,1,,
24,""," ",1,"","","",3,"Indian, Chinese, Continental",1,2,"12.00 Noon","2 kms. from Railway Station","25 kms. from Airport","2 kms. from Bus Stand","Marine Drive (Close to Backwaters)",,39,"Centrally Air-conditioned","Room Service, H/C running water, Bath tubs, Direct Dialling Telephone, Fax, Cable T.V., Safe Deposit","Banquet & Conference Facilities, Shopping Arcade","Doctor on Call, Laundry, Money Changer, Travel Desk Service","AMEX, CAN, BOB, Diners, VISA, Master, Andhra, Central, ANZ, Citi",3034,,,sealord-hotel,"","Sealord Hotel in Kochi - Travel in India | Travellers Palm",,"Sealord Hotel","Shanmugham  Road ",Kochi,"682 031",200,"2324169, 2382472, 73, 74","304 2543","","reservations@sealordhotels.com
sealord@asianetindia.com",sealordcochin.com,,"",0484,,,,87,16,13,0,0,,1,,
25,""," ",1,"","","",0,,,,,,,,,,,,,,,,,,,cavala-hotel,"","Cavala Hotel in Goa - Travel in India | Travellers Palm",,"Cavala Hotel","Saunta Vaddo
Baga Beach",Calangute,"403 516",200,"227 6090, 2277587","","",cavala@sancharnet.in,"",,"",0832,,,,139,10,13,0,0,,1,,
26,""," ",1,"","","",0,,,,,,,,,,,,,,,,,,,chandra-towers,"","Chandra Towers in Chennai - Travel in India | Travellers Palm",,"Chandra Towers","No.9,  Gandhi Irwin Road 
Egmore","Chennai ","600 008",200,"825 8171(8 lines), 823 3344","825 1703","","","",,"",044,,,,257,29,13,0,0,,1,,
